timestamp, name, temperature.gpu, power.draw [W], power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%], pstate
2026/09/10 07:40:56.460, NVIDIA GeForce RTX 3090, 56, 23.64 W, 370.00 W, 210 MHz, 405 MHz, 0 %, 0 %, P8
2026/09/10 07:40:56.569, NVIDIA GeForce RTX 3090, 56, 23.64 W, 370.00 W, 210 MHz, 405 MHz, 0 %, 0 %, P8
2026/09/10 07:40:56.670, NVIDIA GeForce RTX 3090, 56, 23.64 W, 370.00 W, 210 MHz, 405 MHz, 0 %, 0 %, P8
2026/09/10 07:40:56.770, NVIDIA GeForce RTX 3090, 56, 23.64 W, 370.00 W, 210 MHz, 405 MHz, 0 %, 0 %, P8
2026/09/10 07:40:56.871, NVIDIA GeForce RTX 3090, 56, 23.64 W, 370.00 W, 210 MHz, 405 MHz, 0 %, 0 %, P8
2026/09/10 07:40:56.973, NVIDIA GeForce RTX 3090, 56, 23.84 W, 370.00 W, 210 MHz, 405 MHz, 0 %, 0 %, P8
2026/09/10 07:40:57.073, NVIDIA GeForce RTX 3090, 56, 23.84 W, 370.00 W, 210 MHz, 405 MHz, 0 %, 0 %, P8
2026/09/10 07:40:57.174, NVIDIA GeForce RTX 3090, 56, 23.84 W, 370.00 W, 210 MHz, 405 MHz, 0 %, 0 %, P8
2026/09/10 07:40:57.275, NVIDIA GeForce RTX 3090, 56, 23.84 W, 370.00 W, 210 MHz, 405 MHz, 0 %, 0 %, P8
2026/09/10 07:40:57.376, NVIDIA GeForce RTX 3090, 56, 23.84 W, 370.00 W, 210 MHz, 405 MHz, 0 %, 0 %, P8
2026/09/10 07:40:57.477, NVIDIA GeForce RTX 3090, 56, 23.84 W, 370.00 W, 210 MHz, 405 MHz, 0 %, 0 %, P8
2026/09/10 07:40:57.578, NVIDIA GeForce RTX 3090, 56, 23.84 W, 370.00 W, 210 MHz, 405 MHz, 0 %, 0 %, P8
2026/09/10 07:40:57.679, NVIDIA GeForce RTX 3090, 56, 23.84 W, 370.00 W, 210 MHz, 405 MHz, 0 %, 0 %, P8
2026/09/10 07:40:57.779, NVIDIA GeForce RTX 3090, 56, 23.84 W, 370.00 W, 210 MHz, 405 MHz, 0 %, 0 %, P8
2026/09/10 07:40:57.880, NVIDIA GeForce RTX 3090, 56, 23.84 W, 370.00 W, 210 MHz, 405 MHz, 0 %, 0 %, P8
2026/09/10 07:40:57.981, NVIDIA GeForce RTX 3090, 56, 23.61 W, 370.00 W, 210 MHz, 405 MHz, 0 %, 0 %, P8
2026/09/10 07:40:58.082, NVIDIA GeForce RTX 3090, 56, 23.61 W, 370.00 W, 210 MHz, 405 MHz, 0 %, 0 %, P8
2026/09/10 07:40:58.183, NVIDIA GeForce RTX 3090, 56, 23.61 W, 370.00 W, 210 MHz, 405 MHz, 0 %, 0 %, P8
2026/09/10 07:40:58.284, NVIDIA GeForce RTX 3090, 56, 23.61 W, 370.00 W, 210 MHz, 405 MHz, 0 %, 0 %, P8
2026/09/10 07:40:58.385, NVIDIA GeForce RTX 3090, 56, 23.61 W, 370.00 W, 210 MHz, 405 MHz, 0 %, 0 %, P8
2026/09/10 07:40:58.486, NVIDIA GeForce RTX 3090, 56, 23.61 W, 370.00 W, 210 MHz, 405 MHz, 0 %, 0 %, P8
2026/09/10 07:40:58.587, NVIDIA GeForce RTX 3090, 56, 23.61 W, 370.00 W, 210 MHz, 405 MHz, 0 %, 0 %, P8
2026/09/10 07:40:58.688, NVIDIA GeForce RTX 3090, 56, 23.61 W, 370.00 W, 210 MHz, 405 MHz, 0 %, 0 %, P8
2026/09/10 07:40:58.789, NVIDIA GeForce RTX 3090, 56, 23.61 W, 370.00 W, 210 MHz, 405 MHz, 0 %, 0 %, P8
2026/09/10 07:40:58.890, NVIDIA GeForce RTX 3090, 56, 23.61 W, 370.00 W, 210 MHz, 405 MHz, 0 %, 0 %, P8
2026/09/10 07:40:58.991, NVIDIA GeForce RTX 3090, 55, 22.86 W, 370.00 W, 210 MHz, 405 MHz, 0 %, 0 %, P8
