number,value,params_buffer_num,params_buffer_unroll,params_ctas_per_sm,params_num_warp,params_uncached,user_attrs_build_dir,user_attrs_registers,user_attrs_seq_len,user_attrs_spill_loads_bytes,user_attrs_spill_stores_bytes,user_attrs_stack_bytes,state
0,,4,7,5,1,1,,,,,,,PRUNED
1,,2,14,7,4,0,,,,,,,PRUNED
2,,2,7,8,1,0,,,,,,,PRUNED
3,,5,11,3,1,1,,,,,,,PRUNED
4,48036480.0,3,6,3,2,1,/root/TFG-FlashAttention/build,204.0,65536.0,0.0,0.0,0.0,COMPLETE
5,,5,4,5,2,1,,,,,,,PRUNED
6,66175840.0,6,2,2,2,1,/root/TFG-FlashAttention/build,159.0,65536.0,0.0,0.0,0.0,COMPLETE
7,,3,2,8,2,1,,,,,,,PRUNED
8,45434688.0,4,15,3,4,1,/root/TFG-FlashAttention/build,162.0,65536.0,0.0,0.0,0.0,COMPLETE
9,45360480.0,4,1,3,4,1,/root/TFG-FlashAttention/build,149.0,65536.0,0.0,0.0,0.0,COMPLETE
10,,4,16,6,4,0,,,,,,,PRUNED
11,,6,12,4,1,1,,,,,,,PRUNED
12,46105248.0,2,5,6,2,1,/root/TFG-FlashAttention/build,160.0,65536.0,0.0,0.0,0.0,COMPLETE
13,,4,7,5,16,0,,,,,,,PRUNED
14,,2,16,8,4,0,,,,,,,PRUNED
15,150124640.0,6,2,2,1,0,/root/TFG-FlashAttention/build,159.0,65536.0,0.0,0.0,0.0,COMPLETE
16,662264384.0,2,3,6,8,1,/root/TFG-FlashAttention/build,40.0,65536.0,2656.0,2204.0,744.0,COMPLETE
17,,3,1,5,8,0,,,,,,,PRUNED
18,50276480.0,4,5,2,8,1,/root/TFG-FlashAttention/build,128.0,65536.0,164.0,84.0,56.0,COMPLETE
19,45279968.0,3,7,4,4,0,/root/TFG-FlashAttention/build,128.0,65536.0,316.0,140.0,64.0,COMPLETE
20,,5,15,3,1,1,,,,,,,PRUNED
21,,3,14,8,16,1,,,,,,,PRUNED
22,,5,12,6,16,1,,,,,,,PRUNED
23,47559264.0,3,10,3,2,0,/root/TFG-FlashAttention/build,166.0,65536.0,0.0,0.0,0.0,COMPLETE
24,,4,8,7,8,0,,,,,,,PRUNED
25,98468768.0,4,5,3,1,1,/root/TFG-FlashAttention/build,160.0,65536.0,0.0,0.0,0.0,COMPLETE
26,45312224.0,3,8,2,4,0,/root/TFG-FlashAttention/build,163.0,65536.0,0.0,0.0,0.0,COMPLETE
27,,6,14,8,4,0,,,,,,,PRUNED
28,,6,11,3,1,1,,,,,,,PRUNED
29,47784928.0,2,16,3,2,1,/root/TFG-FlashAttention/build,189.0,65536.0,0.0,0.0,0.0,COMPLETE
30,,2,1,8,1,1,,,,,,,PRUNED
31,,4,12,7,8,1,,,,,,,PRUNED
32,,5,7,3,16,0,,,,,,,PRUNED
33,75248704.0,3,5,2,1,1,/root/TFG-FlashAttention/build,156.0,65536.0,0.0,0.0,0.0,COMPLETE
34,372579872.0,4,16,3,8,1,/root/TFG-FlashAttention/build,80.0,65536.0,4916.0,3896.0,712.0,COMPLETE
35,,3,16,6,16,1,,,,,,,PRUNED
36,152845120.0,5,12,2,1,1,/root/TFG-FlashAttention/build,186.0,65536.0,0.0,0.0,0.0,COMPLETE
37,,5,10,6,2,0,,,,,,,PRUNED
38,,6,7,7,2,1,,,,,,,PRUNED
39,63958400.0,3,3,1,16,0,/root/TFG-FlashAttention/build,128.0,65536.0,292.0,212.0,160.0,COMPLETE
40,47550912.0,3,1,4,4,1,/root/TFG-FlashAttention/build,128.0,65536.0,48.0,40.0,32.0,COMPLETE
41,74311872.0,2,10,1,1,1,/root/TFG-FlashAttention/build,195.0,65536.0,0.0,0.0,0.0,COMPLETE
42,,6,5,8,1,1,,,,,,,PRUNED
43,45133184.0,4,7,2,4,1,/root/TFG-FlashAttention/build,160.0,65536.0,0.0,0.0,0.0,COMPLETE
44,,6,15,3,2,0,,,,,,,PRUNED
45,,5,15,3,1,1,,,,,,,PRUNED
46,44871936.0,4,4,3,4,1,/root/TFG-FlashAttention/build,158.0,65536.0,0.0,0.0,0.0,COMPLETE
47,,5,8,5,1,1,,,,,,,PRUNED
48,79433600.0,3,9,1,16,1,/root/TFG-FlashAttention/build,128.0,65536.0,772.0,564.0,296.0,COMPLETE
49,55335200.0,4,9,3,2,0,/root/TFG-FlashAttention/build,162.0,65536.0,0.0,0.0,0.0,COMPLETE
50,,6,8,3,16,1,,,,,,,PRUNED
51,47909760.0,3,15,1,2,1,/root/TFG-FlashAttention/build,205.0,65536.0,0.0,0.0,0.0,COMPLETE
52,,4,7,5,4,0,,,,,,,PRUNED
53,53744288.0,4,16,1,2,0,/root/TFG-FlashAttention/build,220.0,65536.0,0.0,0.0,0.0,COMPLETE
54,53719872.0,5,6,1,8,0,/root/TFG-FlashAttention/build,161.0,65536.0,0.0,0.0,0.0,COMPLETE
55,,3,15,7,8,1,,,,,,,PRUNED
56,,4,16,5,2,0,,,,,,,PRUNED
57,,2,15,8,8,0,,,,,,,PRUNED
58,50034464.0,2,15,2,8,1,/root/TFG-FlashAttention/build,128.0,65536.0,856.0,288.0,208.0,COMPLETE
59,,3,16,6,16,0,,,,,,,PRUNED
60,48026432.0,3,6,2,2,1,/root/TFG-FlashAttention/build,204.0,65536.0,0.0,0.0,0.0,COMPLETE
61,,4,16,4,2,0,,,,,,,PRUNED
62,,5,3,3,8,0,,,,,,,PRUNED
63,85734272.0,2,12,1,16,1,/root/TFG-FlashAttention/build,128.0,65536.0,1364.0,716.0,280.0,COMPLETE
64,,5,2,7,2,1,,,,,,,PRUNED
65,,4,16,4,8,1,,,,,,,PRUNED
66,,5,11,4,1,1,,,,,,,PRUNED
67,,5,7,4,8,0,,,,,,,PRUNED
68,,5,2,4,4,1,,,,,,,PRUNED
69,,2,14,7,2,1,,,,,,,PRUNED
70,79813408.0,3,14,3,1,0,/root/TFG-FlashAttention/build,186.0,65536.0,0.0,0.0,0.0,COMPLETE
71,53571488.0,4,13,2,2,0,/root/TFG-FlashAttention/build,168.0,65536.0,0.0,0.0,0.0,COMPLETE
72,,5,6,7,1,0,,,,,,,PRUNED
73,,3,3,5,16,0,,,,,,,PRUNED
74,150912480.0,6,9,1,1,1,/root/TFG-FlashAttention/build,168.0,65536.0,0.0,0.0,0.0,COMPLETE
75,48024224.0,3,6,3,2,1,/root/TFG-FlashAttention/build,204.0,65536.0,0.0,0.0,0.0,COMPLETE
76,,6,13,7,16,1,,,,,,,PRUNED
77,,4,14,6,8,1,,,,,,,PRUNED
78,52256256.0,3,2,2,2,1,/root/TFG-FlashAttention/build,168.0,65536.0,0.0,0.0,0.0,COMPLETE
79,,3,8,5,8,1,,,,,,,PRUNED
80,54029280.0,6,13,1,8,1,/root/TFG-FlashAttention/build,160.0,65536.0,0.0,0.0,0.0,COMPLETE
81,45355872.0,2,9,3,4,1,/root/TFG-FlashAttention/build,160.0,65536.0,0.0,0.0,0.0,COMPLETE
82,,3,3,4,16,0,,,,,,,PRUNED
83,,6,12,5,8,1,,,,,,,PRUNED
84,,5,9,4,16,0,,,,,,,PRUNED
85,,2,6,8,8,0,,,,,,,PRUNED
86,,2,8,8,16,1,,,,,,,PRUNED
87,,4,12,8,2,1,,,,,,,PRUNED
88,,5,14,6,8,0,,,,,,,PRUNED
89,,6,7,4,8,0,,,,,,,PRUNED
90,,2,2,7,16,0,,,,,,,PRUNED
91,,3,6,8,2,1,,,,,,,PRUNED
92,,5,4,6,4,1,,,,,,,PRUNED
93,,3,14,8,16,1,,,,,,,PRUNED
94,47893920.0,5,14,2,4,1,/root/TFG-FlashAttention/build,162.0,65536.0,0.0,0.0,0.0,COMPLETE
95,102630240.0,4,15,2,1,1,/root/TFG-FlashAttention/build,186.0,65536.0,0.0,0.0,0.0,COMPLETE
96,102933760.0,4,15,2,1,0,/root/TFG-FlashAttention/build,186.0,65536.0,0.0,0.0,0.0,COMPLETE
97,,4,10,6,8,1,,,,,,,PRUNED
98,,6,13,8,8,0,,,,,,,PRUNED
99,54033120.0,4,11,1,8,0,/root/TFG-FlashAttention/build,162.0,65536.0,0.0,0.0,0.0,COMPLETE
100,44775360.0,4,6,2,4,1,/root/TFG-FlashAttention/build,168.0,65536.0,0.0,0.0,0.0,COMPLETE
101,44775904.0,4,6,2,4,1,/root/TFG-FlashAttention/build,168.0,65536.0,0.0,0.0,0.0,COMPLETE
102,45297568.0,4,1,3,4,1,/root/TFG-FlashAttention/build,149.0,65536.0,0.0,0.0,0.0,COMPLETE
103,46182080.0,4,8,2,4,1,/root/TFG-FlashAttention/build,177.0,65536.0,0.0,0.0,0.0,COMPLETE
104,46312448.0,4,2,3,4,1,/root/TFG-FlashAttention/build,156.0,65536.0,0.0,0.0,0.0,COMPLETE
105,,4,1,4,4,1,,,,,,,PRUNED
106,48015904.0,2,6,5,2,1,/root/TFG-FlashAttention/build,168.0,65536.0,0.0,0.0,0.0,COMPLETE
107,,2,4,7,2,1,,,,,,,PRUNED
108,47280480.0,3,8,1,4,0,/root/TFG-FlashAttention/build,175.0,65536.0,0.0,0.0,0.0,COMPLETE
109,45897216.0,3,8,3,4,1,/root/TFG-FlashAttention/build,161.0,65536.0,0.0,0.0,0.0,COMPLETE
110,44772416.0,4,6,2,4,1,/root/TFG-FlashAttention/build,168.0,65536.0,0.0,0.0,0.0,COMPLETE
111,46963648.0,4,4,2,4,1,/root/TFG-FlashAttention/build,174.0,65536.0,0.0,0.0,0.0,COMPLETE
112,45408320.0,4,9,3,4,1,/root/TFG-FlashAttention/build,160.0,65536.0,0.0,0.0,0.0,COMPLETE
113,45690272.0,4,12,3,4,1,/root/TFG-FlashAttention/build,168.0,65536.0,12.0,12.0,16.0,COMPLETE
114,45150880.0,4,6,1,4,1,/root/TFG-FlashAttention/build,167.0,65536.0,0.0,0.0,0.0,COMPLETE
115,45298784.0,4,7,3,4,1,/root/TFG-FlashAttention/build,160.0,65536.0,0.0,0.0,0.0,COMPLETE
116,45207616.0,4,7,1,4,1,/root/TFG-FlashAttention/build,160.0,65536.0,0.0,0.0,0.0,COMPLETE
117,46175904.0,4,8,1,4,1,/root/TFG-FlashAttention/build,177.0,65536.0,0.0,0.0,0.0,COMPLETE
118,45208864.0,4,6,1,4,1,/root/TFG-FlashAttention/build,167.0,65536.0,0.0,0.0,0.0,COMPLETE
119,45210944.0,4,6,1,4,1,/root/TFG-FlashAttention/build,167.0,65536.0,0.0,0.0,0.0,COMPLETE
120,45225664.0,4,6,1,4,1,/root/TFG-FlashAttention/build,167.0,65536.0,0.0,0.0,0.0,COMPLETE
121,45425408.0,4,5,1,4,1,/root/TFG-FlashAttention/build,160.0,65536.0,0.0,0.0,0.0,COMPLETE
122,47381632.0,5,6,2,4,1,/root/TFG-FlashAttention/build,162.0,65536.0,0.0,0.0,0.0,COMPLETE
123,45494208.0,4,6,3,4,1,/root/TFG-FlashAttention/build,164.0,65536.0,0.0,0.0,0.0,COMPLETE
124,45212832.0,4,6,1,4,1,/root/TFG-FlashAttention/build,167.0,65536.0,0.0,0.0,0.0,COMPLETE
125,45214784.0,4,6,1,4,1,/root/TFG-FlashAttention/build,167.0,65536.0,0.0,0.0,0.0,COMPLETE
126,44864768.0,4,4,3,4,1,/root/TFG-FlashAttention/build,158.0,65536.0,0.0,0.0,0.0,COMPLETE
127,44769408.0,4,6,2,4,1,/root/TFG-FlashAttention/build,168.0,65536.0,0.0,0.0,0.0,COMPLETE
128,45499648.0,4,5,2,4,1,/root/TFG-FlashAttention/build,160.0,65536.0,0.0,0.0,0.0,COMPLETE
129,44872704.0,4,4,3,4,1,/root/TFG-FlashAttention/build,158.0,65536.0,0.0,0.0,0.0,COMPLETE
