number,value,params_buffer_num,params_buffer_unroll,params_ctas_per_sm,params_warps_per_block,user_attrs_build_dir,user_attrs_registers,user_attrs_spill_loads_bytes,user_attrs_spill_stores_bytes,user_attrs_stack_bytes,state
0,3448768.0,2,9,3,2,/home/angel/Emacs/Projects/TFG-FA/build,,,,,COMPLETE
1,,5,9,5,12,,,,,,PRUNED
2,,4,15,4,11,,,,,,PRUNED
3,,5,9,8,7,,,,,,PRUNED
4,,2,2,5,15,,,,,,PRUNED
5,6297984.0,5,14,1,14,/home/angel/Emacs/Projects/TFG-FA/build,128.0,1184.0,468.0,352.0,COMPLETE
6,,4,13,8,13,,,,,,PRUNED
7,4494048.0,2,16,1,11,/home/angel/Emacs/Projects/TFG-FA/build,168.0,172.0,48.0,176.0,COMPLETE
8,,3,13,5,7,,,,,,PRUNED
9,23268512.0,2,10,4,10,/home/angel/Emacs/Projects/TFG-FA/build,48.0,5608.0,4464.0,944.0,COMPLETE
10,,6,11,5,10,,,,,,PRUNED
11,,5,1,3,7,,,,,,PRUNED
12,,3,3,6,11,,,,,,PRUNED
13,9930784.0,4,8,3,6,/home/angel/Emacs/Projects/TFG-FA/build,96.0,1884.0,1688.0,688.0,COMPLETE
14,,3,3,8,2,,,,,,PRUNED
15,,4,4,6,5,,,,,,PRUNED
16,5113248.0,5,3,2,2,/home/angel/Emacs/Projects/TFG-FA/build,198.0,0.0,0.0,128.0,COMPLETE
17,3693088.0,6,2,2,6,/home/angel/Emacs/Projects/TFG-FA/build,156.0,0.0,0.0,128.0,COMPLETE
18,,6,8,7,2,,,,,,PRUNED
19,,5,1,8,10,,,,,,PRUNED
20,,6,11,3,3,,,,,,PRUNED
21,3459168.0,2,3,2,4,/home/angel/Emacs/Projects/TFG-FA/build,159.0,0.0,0.0,128.0,COMPLETE
22,3862944.0,3,4,2,2,/home/angel/Emacs/Projects/TFG-FA/build,164.0,0.0,0.0,128.0,COMPLETE
23,3658304.0,2,8,4,3,/home/angel/Emacs/Projects/TFG-FA/build,168.0,8.0,8.0,144.0,COMPLETE
24,10790624.0,2,6,4,5,/home/angel/Emacs/Projects/TFG-FA/build,96.0,1620.0,1396.0,624.0,COMPLETE
25,5094144.0,2,9,1,1,/home/angel/Emacs/Projects/TFG-FA/build,169.0,0.0,0.0,128.0,COMPLETE
26,3865568.0,2,12,4,2,/home/angel/Emacs/Projects/TFG-FA/build,185.0,0.0,0.0,128.0,COMPLETE
27,8972640.0,2,7,6,3,/home/angel/Emacs/Projects/TFG-FA/build,96.0,1516.0,1264.0,464.0,COMPLETE
28,3664608.0,2,5,2,6,/home/angel/Emacs/Projects/TFG-FA/build,158.0,0.0,0.0,128.0,COMPLETE
